eda,bvp,temp,x,y,z,emotion
0.09,7.44,31.25,-11,-22,61,0
0.09,-4.87,31.25,-11,-21,61,0
0.09,-13.55,31.25,-10,-22,60,0
0.09,2.1,31.25,-11,-22,61,0
0.09,-2.62,31.25,-11,-22,60,0
0.09,-4.47,31.25,-11,-22,60,0
0.09,2.77,31.25,-11,-22,61,0
0.09,-3.69,31.25,-11,-21,60,0
0.09,0.22,31.25,-11,-21,61,0
0.09,0.63,31.25,-10,-21,61,0
0.09,-10.15,31.25,-11,-22,60,0
0.09,2.31,31.25,-11,-22,60,0
0.09,-1.44,31.25,-11,-22,61,0
0.09,-5.7,31.25,-11,-22,61,0
0.09,1.79,31.21,-11,-22,60,0
0.09,-4.16,31.21,-11,-22,60,0
0.09,4.28,31.21,-12,-22,61,0
0.09,0.02,31.21,-11,-22,61,0
0.09,-4.76,31.23,-11,-22,60,0
0.09,5.86,31.23,-12,-22,61,0
0.09,-2.02,31.23,-12,-22,60,0
0.09,-8.92,31.23,-11,-22,60,0
0.09,3.61,31.21,-11,-22,60,0
0.09,-0.75,31.21,-10,-21,62,0
0.09,-7.91,31.21,-11,-22,62,0
0.09,4.02,31.21,-19,-20,69,0
0.09,0.19,31.23,-18,-23,53,0
0.09,-4.9,31.23,-28,-11,71,0
0.09,-42.58,31.23,-35,-8,60,0
0.09,-64.17,31.23,-35,-5,58,0
0.09,-73.97,31.23,-31,-6,56,0
0.09,115.08,31.23,-31,-5,58,0
0.09,52.14,31.23,-29,-6,58,0
0.09,36.35,31.23,-30,-6,59,0
0.09,57.83,31.23,-28,-5,59,0
0.09,-0.96,31.23,-31,-5,59,0
0.09,-4.99,31.23,-29,-5,58,0
0.09,-42.46,31.23,-29,-6,58,0
0.09,10.72,31.25,-22,-7,59,0
0.09,30.34,31.25,-23,-5,62,0
0.09,0.32,31.25,-27,-4,60,0
0.09,27.52,31.25,-26,-6,59,0
0.09,19.02,31.25,-26,-6,60,0
0.09,-13.66,31.25,-26,-5,59,0
0.09,-25.62,31.25,-26,-5,60,0
0.09,-18.98,31.25,-25,-6,60,0
0.09,0.11,31.25,-25,-5,61,0
0.09,17.02,31.25,-26,-5,60,0
0.09,-16.09,31.25,-26,-6,60,0
0.09,12.6,31.25,-26,-5,60,0
0.09,16.5,31.25,-26,-5,60,0
0.09,-31.06,31.25,-26,-5,60,0
0.09,8.13,31.25,-28,-4,59,0
0.09,3.71,31.25,-27,-6,60,0
0.09,-12.8,31.27,-26,-6,60,0
0.09,-7.68,31.27,-29,-6,57,0
0.09,-3.07,31.27,-24,-6,59,0
0.09,41.68,31.27,-28,-6,58,0
0.09,-9.97,31.25,-27,-7,59,0
0.09,-2.61,31.25,-28,-6,59,0
0.09,7.97,31.25,-29,-5,60,0
0.09,-60.25,31.25,-29,-6,60,0
0.09,-1.97,31.27,-26,-6,60,0
0.09,10.72,31.27,-26,-5,60,0
0.09,26.46,31.27,-27,-4,60,0
0.09,39.12,31.27,-24,-4,60,0
0.09,-109.36,31.27,-18,-4,61,0
0.09,7.67,31.27,-30,-4,60,0
0.09,39.07,31.27,-28,-3,60,0
0.09,38.97,31.27,-21,-5,58,0
0.09,-4.95,31.27,-21,-5,60,0
0.09,-109.84,31.27,-25,-5,60,0
0.09,-2.53,31.27,-27,-5,60,0
0.1,33.56,31.27,-26,-6,60,0
0.09,-30.47,31.25,-29,-5,59,0
0.09,-17.71,31.25,-29,-6,59,0
0.1,26.18,31.25,-28,-6,59,0
0.09,8.63,31.25,-27,-6,58,0
0.09,-24.53,31.25,-30,-5,58,0
0.1,25.22,31.25,-26,-6,60,0
0.09,8.23,31.25,-23,-8,60,0
0.1,-6.25,31.25,-33,-4,60,0
0.09,21.02,31.25,-30,-7,57,0
0.09,24.09,31.25,-31,-6,59,0
0.1,19.07,31.25,-26,-6,59,0
0.09,-49.15,31.25,-24,-5,62,0
0.1,19.84,31.25,-23,-7,60,0
0.1,33.18,31.25,-26,-3,61,0
0.09,49.77,31.25,-31,-5,61,0
0.1,-3.09,31.25,-31,-6,59,0
0.09,-2.23,31.25,-37,-7,57,0
0.1,-30.34,31.25,-40,-8,53,0
0.09,-7.87,31.25,-47,-9,49,0
0.09,24.72,31.25,-49,-10,47,0
0.1,-0.9,31.23,-50,-12,44,0
0.09,22.08,31.23,-50,-13,41,0
0.1,-8.42,31.23,-50,-12,40,0
0.1,-40.05,31.23,-55,-12,38,0
0.1,-32.56,31.23,-53,-12,39,0
0.1,53.33,31.23,-53,-11,38,0
0.09,14.22,31.23,-54,-11,38,0
0.1,-14.97,31.23,-53,-11,39,0
0.1,-23.58,31.23,-53,-11,40,0
0.1,24.11,31.23,-52,-11,39,0
0.1,27.64,31.23,-52,-11,40,0
0.1,-20.29,31.23,-53,-11,40,0
0.1,9.36,31.23,-52,-11,40,0
0.1,2.72,31.23,-52,-11,40,0
0.1,2.15,31.23,-53,-11,39,0
0.1,10.63,31.23,-53,-11,40,0
0.1,-4.98,31.23,-52,-11,40,0
0.1,16.1,31.23,-53,-11,39,0
0.1,11.91,31.23,-53,-11,39,0
0.1,-20.9,31.23,-53,-11,38,0
0,-0.03,27.11,22,43,41,1
0.2,5.06,27.11,23,43,40,1
0.3,17.91,27.11,22,43,40,1
0.3,79.34,27.11,22,43,41,1
0.3,228.25,27.11,23,44,41,1
0.3,-486.5,27.11,22,43,41,1
0.3,-5.9,27.11,22,43,41,1
0.3,156.15,27.11,22,43,42,1
0.3,46.78,27.11,21,43,40,1
0.3,4.05,27.11,22,43,42,1
0.3,0.18,27.11,20,42,42,1
0.3,0.9,27.11,22,43,41,1
0.3,4,27.09,22,43,41,1
0.3,15.41,27.09,22,43,41,1
0.3,10.25,27.09,22,43,41,1
0.3,-14.03,27.09,21,43,41,1
0.3,13.49,27.09,22,43,41,1
0.3,50.54,27.09,22,43,42,1
0.3,-13.1,27.09,22,43,41,1
0.3,-100.26,27.09,22,43,41,1
0.3,19.23,27.09,21,43,41,1
0.3,8.59,27.09,22,43,42,1
0.3,26.01,27.09,21,43,42,1
0.3,16.23,27.09,22,43,42,1
0.3,-14.43,27.07,22,43,41,1
0.3,11.58,27.07,24,44,39,1
0.3,4.49,27.07,23,45,39,1
0.3,-13.62,27.07,24,44,41,1
0.3,9.02,27.07,21,43,40,1
0.3,5.57,27.07,22,43,40,1
0.3,-12.34,27.07,22,43,40,1
0.3,16.31,27.07,20,43,40,1
0.3,9.4,27.05,23,43,40,1
0.3,-30.58,27.05,24,43,40,1
0.3,9.02,27.05,23,44,40,1
0.3,18.39,27.05,23,43,41,1
0.3,-21.19,27.05,22,43,39,1
0.3,-7.99,27.05,22,43,40,1
0.3,3.07,27.05,23,44,39,1
0.31,13,27.05,24,44,40,1
0.3,15.48,27.03,22,43,40,1
0.3,0.56,27.03,21,43,41,1
0.3,-16.66,27.03,22,44,39,1
0.3,3.63,27.03,22,43,41,1
0.3,-8.21,27.03,22,43,40,1
0.3,-16.19,27.03,22,43,40,1
0.3,11.16,27.03,23,44,39,1
0.3,-4,27.03,21,43,41,1
0.3,-11.19,27.05,23,44,40,1
0.3,22.66,27.05,23,44,40,1
0.3,8.69,27.05,22,44,40,1
0.3,-9.78,27.05,22,43,39,1
0.3,7.22,27.03,22,44,40,1
0.3,0.06,27.03,23,43,38,1
0.3,-13.27,27.03,23,44,37,1
0.3,-9.29,27.03,23,45,40,1
0.3,-20.37,27.05,22,46,39,1
0.3,-13.18,27.05,23,44,39,1
0.3,28.7,27.05,31,46,33,1
0.3,-6.15,27.05,28,44,38,1
0.3,-33.87,27.03,25,43,39,1
0.3,-25.85,27.03,24,45,39,1
0.3,30.62,27.03,22,46,33,1
0.3,54.92,27.03,21,48,32,1
0.3,143.79,27.03,29,47,32,1
0.31,-45.32,27.03,33,47,32,1
0.31,-137.26,27.03,33,45,30,1
0.32,60.85,27.03,35,44,30,1
0.32,114.7,27.01,37,45,28,1
0.32,178.79,27.01,37,45,29,1
0.32,-112.13,27.01,35,44,28,1
0.31,4.42,27.01,31,43,27,1
0.32,-74.22,27.03,35,44,32,1
0.32,-35.1,27.03,32,47,27,1
0.32,-41.23,27.03,36,47,29,1
0.32,20.6,27.03,32,46,33,1
0.31,78.94,27.03,31,46,32,1
0.32,-45,27.03,30,45,34,1
0.31,-10.08,27.03,33,45,31,1
0.31,16.23,27.03,31,45,33,1
0.32,-83.32,27.05,33,44,35,1
0.32,-161.96,27.05,31,45,29,1
0.32,-77.68,27.05,38,44,30,1
0.31,-18.1,27.05,34,44,30,1
0.32,-43.48,27.05,34,45,31,1
0.32,-84.27,27.05,34,44,31,1
0.32,113.31,27.05,34,44,30,1
0.31,306.37,27.05,32,44,31,1
0.32,101.16,27.05,34,44,33,1
0.31,190.07,27.05,31,44,29,1
0.32,53.17,27.05,34,45,32,1
0.32,18.08,27.05,35,45,29,1
0.32,-144.02,27.07,35,45,29,1
0.32,-53.84,27.07,36,45,30,1
0.32,-152.55,27.07,35,45,30,1
0.32,48.36,27.07,35,45,29,1
0.32,-85.3,27.09,35,45,29,1
0.32,100.16,27.09,34,45,29,1
0.32,81.34,27.09,36,44,30,1
0.32,27.62,27.09,35,45,29,1
0.32,-93.54,27.07,36,45,29,1
0.32,27.29,27.07,34,45,29,1
0.32,17.53,27.07,35,44,29,1
0.32,-0.59,27.07,35,45,30,1
0.32,23.23,27.09,36,44,30,1
0.32,44.97,27.09,35,45,29,1
0.32,29.77,27.09,35,45,29,1
0.32,-68.8,27.09,35,45,30,1
0.32,-9.34,27.09,34,45,30,1
0.32,-12.27,27.09,35,45,30,1
0.32,-22.39,27.09,34,45,29,1
0.32,-2.85,27.09,34,45,29,1
0.32,11.48,27.11,35,44,30,1
0.32,3.69,27.11,35,44,29,1
0.32,19.02,27.11,35,45,29,1
0.32,-23.2,27.11,35,45,29,1
0.32,7.05,27.15,35,45,29,1
0.32,46.12,27.15,35,45,30,1
0.32,-9.58,27.15,35,45,30,1
0.32,-17.57,27.15,35,45,29,1
0.32,-14.43,27.13,35,45,30,1
0.32,-16.83,27.13,36,45,29,1
0.32,34.72,27.13,35,45,30,1
0.32,-9.51,27.13,35,45,30,1
0.32,-16.78,27.13,35,45,30,1
0.32,-16.04,27.13,35,44,29,1
0.32,22.19,27.13,38,45,30,1
0.32,26.88,27.13,36,45,29,1
0.32,15.35,27.11,39,45,27,1
0.32,29.02,27.11,40,44,22,1
0.32,-50.08,27.11,41,45,16,1
0.32,-12.23,27.11,43,43,19,1
0.32,93.29,27.13,44,46,7,1
0.31,5.96,27.13,44,46,11,1
0.31,-138.66,27.13,42,47,7,1
0.32,-107.23,27.13,45,46,7,1
0.32,-17.61,27.13,44,47,6,1
0.32,348.81,27.13,44,47,6,1
0.32,137.83,27.13,46,46,6,1
0.32,-28.35,27.13,43,47,5,1
0.31,-61.81,27.15,44,47,11,1
0.31,7.89,27.15,42,47,8,1
0.32,11.95,27.15,42,46,10,1
0.32,-28.42,27.15,43,46,11,1
0.32,-63.14,27.15,43,46,11,1
0.32,-90.36,27.15,43,46,11,1
0.32,-36.11,27.15,42,47,11,1
0.31,7.43,27.15,42,47,11,1
0.31,-23.43,27.13,43,46,12,1
0.31,-0.03,27.13,43,46,12,1
0.32,0.62,27.13,43,46,12,1
0.31,-41.12,27.13,43,47,10,1
0.32,95.84,27.15,42,46,12,1
0.32,25.2,27.15,43,46,11,1
0.32,-8.92,27.15,43,47,12,1
0.32,-10.39,27.15,43,46,15,1
0.31,-2.1,27.15,42,47,12,1
0.32,35.13,27.15,43,47,12,1
0.31,13.86,27.15,42,47,12,1
0.31,-35.12,27.15,43,47,12,1
0.31,23.15,27.15,42,47,12,1
0.31,51.97,27.15,43,47,12,1
0.32,-32.04,27.15,42,47,11,1
0.31,12.12,27.15,42,47,11,1
0.32,8.98,27.17,42,47,11,1
0.31,20.8,27.17,42,47,11,1
0.31,23.79,27.17,42,47,11,1
0.31,11.44,27.17,42,47,11,1
0.31,0.22,27.15,44,47,13,1
0.31,-4.05,27.15,43,48,9,1
0.31,-6.7,27.15,43,47,10,1
0.31,-17.95,27.15,43,47,9,1
0.31,2.62,27.15,42,47,10,1
0.31,45.25,27.15,43,47,10,1
0.31,-5.58,27.15,43,47,12,1
0.31,24.19,27.15,42,47,11,1
0.31,28.03,27.17,43,47,11,1
0.31,5.46,27.17,42,47,11,1
0.31,2.1,27.17,42,46,13,1
0.31,10.89,27.17,45,47,11,1
0.31,26.17,27.15,43,46,13,1
0.31,3.85,27.15,42,46,12,1
0.31,17.11,27.15,42,47,11,1
0.31,-32.11,27.15,42,46,12,1
0.31,-17.63,27.15,43,46,12,1
0.31,-49.96,27.15,43,46,13,1
0.31,20.78,27.15,42,47,12,1
0.31,32.16,27.15,42,47,11,1
0.31,-6.49,27.17,42,46,12,1
0.31,-9.94,27.17,42,46,12,1
0.31,12.72,27.17,45,46,17,1
0.31,12.08,27.17,45,46,19,1
0.31,24.4,27.17,38,45,21,1
0.31,25.94,27.17,36,46,23,1
0.31,-120.52,27.17,28,46,29,1
0.31,29.01,27.17,33,47,29,1
0.31,-18.47,27.17,33,49,32,1
0.31,76.6,27.17,32,53,24,1
0.31,94.16,27.17,29,53,13,1
0.3,-70.51,27.17,9,51,1,1
0.3,-82.7,27.15,15,53,26,1
0.3,-142.53,27.15,12,58,11,1
0.3,167.58,27.15,13,57,18,1
0.29,82.3,27.15,17,57,25,1
0.29,-289.06,27.15,15,56,27,1
0.29,39.85,27.15,15,57,25,1
0.29,-249.85,27.15,14,57,22,1
0.29,147.11,27.15,14,57,24,1
0.29,97.01,27.15,16,56,25,1
0.29,123.71,27.15,16,57,23,1
0.29,8.06,27.15,16,57,22,1
0.29,-7.93,27.15,17,57,24,1
0.29,-16.13,27.15,18,57,23,1
0.29,-49.25,27.15,20,57,23,1
0.29,-5,27.15,20,58,18,1
0.29,-15.36,27.15,18,58,19,1
0.29,10.74,27.15,18,59,18,1
0.29,21.3,27.15,15,59,16,1
0.29,-4.46,27.15,15,59,20,1
0.29,62.31,27.15,11,61,11,1
0.29,26.61,27.13,4,62,8,1
0.29,-37.29,27.13,13,61,14,1
0.29,21.17,27.13,15,60,15,1
0.29,13.72,27.13,13,58,10,1
0.29,-39.29,27.15,22,59,4,1
0.29,5.13,27.15,12,60,11,1
0.3,5.65,27.15,11,60,12,1
0.3,49.97,27.15,13,60,11,1
0.3,-86.94,27.15,17,60,10,1
0.3,-228.3,27.15,16,61,9,1
0.3,147.73,27.15,12,61,9,1
0.3,53.34,27.15,22,60,11,1
0.3,-169.36,27.15,20,60,16,1
0.3,-64.41,27.15,13,59,15,1
0.3,128.62,27.15,13,60,12,1
0.3,269.29,27.15,11,61,11,1
0.3,-176.63,27.15,18,61,11,1
0.3,129.12,27.15,14,59,14,1
0.3,-36.19,27.15,21,58,17,1
0.3,41.87,27.15,17,58,15,1
0,-0.03,31.03,72,11,28,0
0.09,5.06,31.03,66,-51,54,0
0.14,17.91,31.03,30,-18,44,0
0.14,79.34,31.03,-24,-77,12,0
0.15,228.25,31.03,9,-22,54,0
0.19,-486.42,31.03,2,-7,64,0
0.19,-6.01,31.03,6,7,72,0
0.19,154.76,31.03,39,2,69,0
0.18,32.66,31.13,79,24,36,0
0.17,-16.04,31.13,45,8,48,0
0.17,-29.38,31.13,23,8,55,0
0.16,-9.28,31.13,32,9,59,0
0.16,-5.46,31.11,26,8,60,0
0.16,2.31,31.11,25,9,59,0
0.15,8.32,31.11,31,12,55,0
0.15,18.72,31.11,21,7,60,0
0.14,15.08,31.05,19,8,61,0
0.15,-63.81,31.05,19,8,62,0
0.15,-60.33,31.05,19,9,59,0
0.14,-1.21,31.05,24,12,55,0
0.14,-74.34,31.11,27,14,52,0
0.14,209.16,31.11,29,12,57,0
0.14,11.51,31.11,50,7,57,0
0.14,-41.12,31.11,73,11,62,0
0.14,30.9,31.17,27,12,62,0
0.15,65.97,31.17,9,11,64,0
0.14,-105.74,31.17,13,6,59,0
0.14,40.38,31.17,4,8,66,0
0.14,-155.78,31.23,5,10,63,0
0.14,108.79,31.23,7,10,62,0
0.14,185.57,31.23,6,11,62,0
0.13,74.97,31.23,13,11,62,0
0.13,-38.17,31.05,8,10,65,0
0.13,-257.05,31.05,6,9,63,0
0.13,168.09,31.05,5,9,64,0
0.13,5.9,31.05,6,9,63,0
0.13,-102.95,30.95,6,8,64,0
0.13,-34.4,30.95,7,6,66,0
0.13,20.12,30.95,7,7,64,0
0.12,267.68,30.95,6,7,64,0
0.13,-40.2,31.25,6,7,64,0
0.13,-10.99,31.25,5,5,63,0
0.13,-89.37,31.25,5,6,64,0
0.13,-123.25,31.25,6,5,64,0
0.13,47.51,31.37,5,6,64,0
0.13,20.87,31.37,7,7,63,0
0.13,101.39,31.37,8,7,63,0
0.13,24.31,31.37,7,6,63,0
0.13,23.38,31.43,10,7,64,0
0.13,-28.01,31.43,6,7,64,0
0.13,161.04,31.43,5,6,64,0
0.13,22.71,31.43,5,7,63,0
0.13,-355.41,31.49,4,6,64,0
0.12,-180.21,31.49,2,7,64,0
0.12,212.71,31.49,1,8,63,0
0.12,117.33,31.49,0,8,64,0
0.12,107.04,31.51,0,6,64,0
0.12,-93.6,31.51,3,10,64,0
0.12,42.76,31.51,2,10,63,0
0.12,133.37,31.51,4,9,64,0
0.12,101.63,31.57,8,11,64,0
0.12,35.55,31.57,2,11,60,0
0.12,-160.06,31.57,6,11,63,0
0.12,-161.57,31.57,4,11,63,0
0.12,24.81,31.59,5,11,63,0
0.12,68.26,31.59,7,11,63,0
0.12,-115.76,31.59,6,11,62,0
0.12,-20.74,31.59,9,12,60,0
0.12,49.05,31.55,11,10,66,0
0.12,38.91,31.55,9,11,62,0
0.13,13.7,31.55,9,11,62,0
0.12,17.15,31.55,8,11,62,0
0.12,-41.92,31.53,7,11,62,0
0.12,10.74,31.53,8,11,63,0
0.12,4.74,31.53,10,10,62,0
0.12,-2.91,31.53,9,11,62,0
0.12,27.82,31.51,9,11,63,0
0.12,-6.97,31.51,8,12,63,0
0.12,-3.11,31.51,9,11,63,0
0.12,-66.68,31.51,9,12,63,0
0.12,23.12,31.49,10,13,62,0
0.12,-52.58,31.49,10,12,62,0
0.12,-22.71,31.49,17,14,64,0
0.12,-78.39,31.49,4,14,57,0
0.12,12.01,31.49,53,20,23,0
0.12,65.72,31.49,49,24,-30,0
0.12,-28.04,31.49,40,18,-41,0
0.12,-89.54,31.49,36,16,-59,0
0.12,167.35,31.47,28,14,-53,0
0.11,294.2,31.47,25,14,-55,0
0.1,-162.05,31.47,27,13,-55,0
0.1,-61.81,31.47,28,13,-58,0
0.1,90.75,31.57,30,13,-66,0
0.1,-84.86,31.57,12,17,-58,0
0.1,15.81,31.57,13,18,-64,0
0.1,36.63,31.57,5,19,-57,0
0.09,-19.34,31.59,5,18,-56,0
0.08,34.53,31.59,10,18,-61,0
0.08,-89.19,31.59,13,18,-58,0
0.09,193.33,31.59,15,19,-60,0
0.11,-109.43,31.63,13,16,-57,0
0.11,-101.5,31.63,13,20,-64,0
0.12,27.15,31.63,11,17,-57,0
0.13,70.94,31.63,10,18,-59,0
0.13,112.54,31.65,9,18,-59,0
0.13,-81.88,31.65,5,17,-61,0
0.14,-186.91,31.65,5,17,-63,0
0.14,-46.08,31.65,7,17,-60,0
0.14,12.48,31.69,6,17,-62,0
0.15,209.45,31.69,7,16,-61,0
0.15,88.73,31.69,8,18,-56,0
0.16,-13.48,31.69,9,18,-60,0
0.15,-20.82,31.71,8,18,-56,0
0.16,-18.95,31.71,11,17,-58,0
0.17,15.58,31.71,9,21,-63,0
0.17,208.27,31.71,10,20,-61,0
0.16,-239.54,31.71,10,21,-60,0
0.15,39.32,31.71,14,21,-63,0
0.15,29.36,31.71,71,25,-16,0
0.15,-227.11,31.71,30,33,41,0
0.15,129.58,31.71,42,32,31,0
0.15,237.54,31.71,32,20,61,0
0.15,132.09,31.71,20,20,53,0
0.15,-140.58,31.71,32,27,44,0
0.15,-64.42,31.69,40,25,47,0
0.15,47.69,31.69,30,20,53,0
0.15,67.35,31.69,23,17,55,0
0.15,37.94,31.69,15,11,60,0
0.15,-12.07,31.65,30,12,56,0
0.15,-101.36,31.65,32,17,55,0
0.15,66.27,31.65,20,16,57,0
0.15,155.44,31.65,29,17,57,0
0.15,-56.28,31.67,31,17,57,0
0.15,-72.65,31.67,16,17,57,0
0.15,-4.15,31.67,17,17,59,0
0.15,-67.1,31.67,10,16,58,0
0.15,26.16,31.69,24,17,59,0
0.15,14.12,31.69,27,16,54,0
0.15,-23.51,31.69,34,17,54,0
0.15,-3.9,31.69,25,18,57,0
0.15,12.92,31.69,31,15,51,0
0.16,-17.13,31.69,35,13,53,0
0.15,83.92,31.69,32,15,51,0
0.15,34.72,31.69,33,17,53,0
0.15,-118.66,31.69,37,17,52,0
0.15,14.02,31.69,31,16,52,0
0.15,-37.24,31.69,35,17,52,0
0.16,-15.41,31.69,37,16,49,0
0.15,26.2,31.71,36,16,49,0
0.15,-20.19,31.71,39,17,49,0
0.15,12.1,31.71,40,16,48,0
0.15,-6.54,31.71,39,16,48,0
0.15,-3.44,31.71,40,15,48,0
0.15,34.78,31.71,41,16,48,0
0.15,9.27,31.71,37,15,50,0
0.15,-4.04,31.71,41,16,49,0
0.15,5.76,31.73,40,16,48,0
0.16,0.85,31.73,39,16,48,0
0.15,33.66,31.73,39,16,48,0
0.16,-35.37,31.73,40,16,48,0
0.15,-9.76,31.73,42,16,48,0
0.15,10.82,31.73,39,15,45,0
0.16,9.97,31.73,50,17,37,0
0.15,5.1,31.73,46,17,38,0
0.15,1.71,31.71,50,16,39,0
0.15,21.99,31.71,42,17,47,0
0.15,-8.17,31.71,36,18,50,0
0.15,-4.98,31.71,36,18,50,0
0.16,-9.33,31.71,34,17,50,0
0.15,14.11,31.71,37,16,51,0
0.16,-9.58,31.71,37,17,51,0
0.15,0.68,31.71,32,17,52,0
0.15,-5.12,31.71,33,17,53,0
0.16,-7.7,31.71,34,17,52,0
0.15,11.59,31.71,34,16,53,0
0.15,21.18,31.71,31,16,53,0
0.15,-4.68,31.69,33,17,53,0
0.16,-19.34,31.69,32,16,52,0
0.15,4.08,31.69,35,16,52,0
